Order_ID,Customer_Name,Category,Sub_Category,City,Order_Date,Region,Sales,Discount,Profit,State,Order_Day,Order_Month,Order_Year
OD39,Jonas,4,11,1,2016-12-27,0,1751,0.19,280.16,0,27,12,2016
OD40,Sabeela,2,4,3,2016-12-27,0,2045,0.23,879.35,0,27,12,2016
OD41,Malik,1,13,11,2016-12-27,0,660,0.19,92.4,0,27,12,2016
OD42,Arutra,1,21,16,2018-10-09,0,1868,0.18,616.44,0,9,10,2018
OD43,Sharon,6,6,0,2017-07-17,4,1017,0.25,345.78,0,17,7,2017
OD44,Mathew,6,6,4,2018-09-19,3,2311,0.2,1039.95,0,19,9,2018
OD45,Amrish,0,1,8,2017-11-03,0,1663,0.17,731.72,0,3,11,2017
OD46,Vince,2,9,9,2017-11-03,0,1420,0.19,355.0,0,3,11,2017
OD47,Suresh,4,19,10,2015-10-20,0,1415,0.31,509.4,0,20,10,2015
OD48,Mathew,6,16,1,2017-06-20,1,1488,0.3,610.08,0,20,6,2017
OD49,Ridhesh,6,16,14,2017-06-20,1,726,0.18,43.56,0,20,6,2017
OD50,Amrish,0,3,12,2016-04-18,0,1259,0.15,415.47,0,18,4,2016
OD51,Esther,1,21,16,2016-04-18,0,902,0.29,153.34,0,18,4,2016
OD52,Shah,1,21,16,2016-04-18,0,2306,0.3,553.44,0,18,4,2016
OD53,Sudha,0,3,18,2016-04-18,0,1417,0.19,99.19,0,18,4,2016
OD54,Yusuf,4,12,9,2017-11-12,1,627,0.33,181.83,0,12,11,2017
OD55,Esther,4,17,10,2017-11-12,1,760,0.28,60.8,0,12,11,2017
OD56,Muneer,3,0,16,2017-06-17,1,2350,0.15,611.0,0,17,6,2017
OD57,Komal,2,10,8,2017-06-17,1,1179,0.34,271.17,0,17,6,2017
OD58,Veena,3,7,20,2017-06-17,1,1624,0.35,194.88,0,17,6,2017
OD59,Sharon,2,15,20,2017-06-17,1,1316,0.35,421.12,0,17,6,2017
OD60,Shree,1,13,2,2017-06-17,1,2121,0.12,678.72,0,17,6,2017
OD61,Roshan,5,14,23,2017-06-17,1,1428,0.28,271.32,0,17,6,2017
OD62,Willams,6,16,13,2017-06-17,1,706,0.33,289.46,0,17,6,2017
OD63,Sudeep,2,10,4,2016-11-24,4,921,0.25,184.2,0,24,11,2016
OD64,Yusuf,4,11,20,2016-11-24,4,1741,0.31,661.58,0,24,11,2016
OD65,Willams,2,9,9,2016-11-24,4,607,0.22,200.31,0,24,11,2016
OD66,Muneer,2,15,19,2016-11-24,4,1824,0.25,766.08,0,24,11,2016
OD67,Vinne,3,0,9,2016-04-30,0,1368,0.11,383.04,0,30,4,2016
OD68,Roshan,4,12,14,2015-05-12,4,1160,0.16,510.4,0,12,5,2015
OD69,Ramesh,3,0,22,2015-05-12,4,1294,0.23,77.64,0,12,5,2015
OD70,Peer,5,14,12,2017-04-06,3,1232,0.14,554.4,0,6,4,2017
OD71,Verma,2,15,6,2017-09-18,1,994,0.31,357.84,0,18,9,2017
OD72,Yusuf,6,16,6,2018-09-14,0,2468,0.18,1011.88,0,14,9,2018
OD73,Alan,6,6,18,2016-04-26,3,721,0.27,100.94,0,26,4,2016
OD74,Vidya,4,19,21,2016-04-26,3,2375,0.21,475.0,0,26,4,2016
OD75,Arvind,1,21,21,2016-04-26,3,1965,0.13,117.9,0,26,4,2016
OD76,Veronica,1,21,0,2018-09-12,0,1489,0.12,193.57,0,12,9,2018
OD77,Arvind,4,17,12,2018-09-12,0,1250,0.27,75.0,0,12,9,2018
OD78,Anu,6,16,2,2018-09-12,0,1358,0.31,488.88,0,12,9,2018
OD79,Haseena,6,6,21,2015-11-26,0,719,0.2,64.71,0,26,11,2015
OD80,Veena,4,17,1,2017-12-06,3,2303,0.26,621.81,0,6,12,2017
OD81,Kumar,1,13,6,2017-12-06,3,2027,0.34,912.15,0,6,12,2017
OD82,Amy,3,0,0,2015-12-10,4,1739,0.29,765.16,0,10,12,2015
OD83,Komal,5,22,3,2015-12-10,4,990,0.26,227.7,0,10,12,2015
OD84,Ravi,1,21,4,2016-03-09,3,2354,0.11,682.66,0,9,3,2016
OD85,Amy,4,17,0,2018-11-13,0,1044,0.1,344.52,0,13,11,2018
OD86,Willams,5,22,5,2018-05-28,3,2129,0.25,659.99,0,28,5,2018
OD87,Sharon,3,20,18,2018-10-26,0,1759,0.1,615.65,0,26,10,2018
OD88,Ramesh,2,9,22,2018-10-26,0,1663,0.26,665.2,0,26,10,2018
OD89,Sheeba,0,2,13,2017-05-04,0,2111,0.21,189.99,0,4,5,2017
OD90,Krithika,3,7,9,2017-09-17,4,1878,0.12,450.72,0,17,9,2017
OD91,Willams,2,4,12,2017-09-17,4,769,0.34,46.14,0,17,9,2017
OD92,Roshan,1,13,23,2017-09-17,4,1241,0.14,409.53,0,17,9,2017
OD93,Ravi,3,0,9,2016-01-31,0,2128,0.14,383.04,0,31,1,2016
OD94,Ram,4,11,11,2016-01-31,0,2257,0.33,270.84,0,31,1,2016
OD95,Mathew,6,5,0,2016-01-31,0,1285,0.28,218.45,0,31,1,2016
OD96,Veena,2,10,23,2018-06-11,4,1230,0.13,442.8,0,11,6,2018
OD97,Sudha,3,0,12,2018-09-11,1,1856,0.21,723.84,0,11,9,2018
OD98,Sharon,4,11,20,2018-06-17,4,545,0.31,125.35,0,17,6,2018
OD99,Vince,6,5,4,2017-06-09,0,2301,0.28,391.17,0,9,6,2017
OD100,Krithika,5,22,1,2017-08-29,0,1475,0.26,531.0,0,29,8,2017
OD101,Adavan,0,3,2,2017-08-29,0,2118,0.35,910.74,0,29,8,2017
OD102,Roshan,1,21,2,2017-08-29,0,1527,0.17,671.88,0,29,8,2017
OD103,Vinne,6,5,10,2017-01-12,0,567,0.18,175.77,0,12,1,2017
OD104,Amy,4,11,15,2016-11-13,4,969,0.27,184.11,0,13,11,2016
OD105,Suresh,3,7,7,2016-11-13,4,2300,0.14,1035.0,0,13,11,2016
OD106,Komal,5,14,6,2016-11-13,4,1575,0.33,78.75,0,13,11,2016
OD107,Sundar,1,13,3,2018-11-23,3,540,0.12,108.0,0,23,11,2018
OD108,Willams,6,6,19,2018-11-23,3,536,0.34,176.88,0,23,11,2018
OD109,Vidya,2,9,19,2018-11-23,3,556,0.21,155.68,0,23,11,2018
OD110,Shree,4,11,2,2016-10-15,0,1179,0.16,271.17,0,15,10,2016
OD111,Sundar,3,7,11,2018-12-25,1,1487,0.12,505.58,0,25,12,2018
OD112,Arvind,0,2,14,2017-03-11,0,2220,0.1,111.0,0,11,3,2017
OD113,Ravi,5,8,5,2017-03-11,0,2155,0.3,581.85,0,11,3,2017
OD114,Vinne,4,12,8,2015-08-25,1,1154,0.1,69.24,0,25,8,2015
OD115,Muneer,6,16,16,2015-08-25,1,2420,0.11,242.0,0,25,8,2015
OD116,Rumaiza,6,5,7,2015-08-25,1,1305,0.24,287.1,0,25,8,2015
OD117,Hussain,4,17,0,2015-08-25,1,927,0.2,157.59,0,25,8,2015
OD118,Arvind,4,19,22,2016-02-03,4,983,0.11,186.77,0,3,2,2016
OD119,Akash,3,20,1,2016-05-04,3,903,0.1,90.3,0,4,5,2016
OD120,Ganesh,2,4,3,2017-12-06,1,1235,0.12,74.1,0,6,12,2017
OD121,Alan,4,19,19,2017-12-06,1,1243,0.24,174.02,0,6,12,2017
OD122,Harish,0,3,8,2017-12-06,1,649,0.34,201.19,0,6,12,2017
OD123,Veronica,2,15,17,2017-12-06,1,2354,0.11,188.32,0,6,12,2017
OD124,Anu,1,21,3,2017-12-06,1,1443,0.27,187.59,0,6,12,2017
OD125,Sudeep,0,2,9,2015-12-26,0,975,0.26,390.0,0,26,12,2015
OD126,Yusuf,4,19,23,2015-09-20,0,889,0.19,71.12,0,20,9,2015
OD127,Shah,2,15,7,2018-05-11,4,2352,0.17,870.24,0,11,5,2018
OD128,Harish,5,22,19,2018-05-11,4,1293,0.23,336.18,0,11,5,2018
OD129,Sharon,3,20,0,2017-06-11,4,1458,0.29,597.78,0,11,6,2017
OD130,Peer,3,0,2,2017-06-11,4,1801,0.22,126.07,0,11,6,2017
OD131,Haseena,6,5,17,2018-02-02,1,1261,0.29,416.13,0,2,2,2018
OD132,Sundar,1,21,10,2018-02-02,1,2112,0.28,105.6,0,2,2,2018
OD133,Ram,2,10,15,2018-02-02,1,640,0.24,140.8,0,2,2,2018
OD134,Shah,0,3,17,2017-10-13,4,1658,0.12,315.02,0,13,10,2017
OD135,Harish,1,13,15,2017-10-13,4,2373,0.18,664.44,0,13,10,2017
OD136,Veena,4,17,3,2017-10-13,4,1430,0.19,514.8,0,13,10,2017
OD137,Sundar,5,22,22,2017-10-13,4,1873,0.3,674.28,0,13,10,2017
OD138,Jackson,2,9,18,2017-10-13,4,867,0.14,329.46,0,13,10,2017
OD139,Malik,6,16,18,2017-10-13,4,1101,0.19,484.44,0,13,10,2017
OD140,Hussain,2,15,12,2017-10-13,4,1088,0.28,424.32,0,13,10,2017
OD141,Veena,0,1,13,2017-05-09,1,866,0.32,381.04,0,9,5,2017
OD142,Aditi,5,14,19,2018-09-18,4,2483,0.14,223.47,0,18,9,2018
OD143,Surya,3,0,6,2018-09-18,4,1335,0.11,293.7,0,18,9,2018
OD144,Sharon,2,10,17,2018-09-18,4,765,0.24,252.45,0,18,9,2018
OD145,Vinne,2,15,17,2018-12-22,0,2403,0.2,624.78,0,22,12,2018
OD146,Malik,5,8,2,2016-07-09,4,1551,0.13,573.87,0,9,7,2016
OD147,Ridhesh,3,18,18,2015-10-22,1,1564,0.27,187.68,0,22,10,2015
OD148,Harish,4,12,19,2017-05-12,0,1125,0.33,292.5,0,12,5,2017
OD149,Veronica,1,13,17,2017-05-12,0,768,0.1,184.32,0,12,5,2017
OD150,Ravi,2,10,21,2017-05-12,0,1985,0.26,734.45,0,12,5,2017
OD151,Muneer,3,20,0,2017-05-12,0,2287,0.13,1029.15,0,12,5,2017
OD152,Jackson,6,5,14,2017-03-13,4,1016,0.34,335.28,0,13,3,2017
OD153,Amy,6,6,11,2017-03-13,4,852,0.26,76.68,0,13,3,2017
OD154,Ram,3,18,15,2016-05-31,4,1233,0.28,234.27,0,31,5,2016
OD155,Jonas,6,16,14,2016-05-31,4,2236,0.14,626.08,0,31,5,2016
OD156,Ramesh,4,12,22,2016-05-31,4,2188,0.32,809.56,0,31,5,2016
OD157,Peer,6,6,2,2016-05-28,4,1114,0.2,456.74,0,28,5,2016
OD158,Komal,5,8,16,2015-01-03,4,1774,0.15,620.9,0,3,1,2015
OD159,Amy,1,21,7,2017-11-20,0,2364,0.21,1040.16,0,20,11,2017
OD160,Amrish,3,7,9,2017-11-20,0,1487,0.11,148.7,0,20,11,2017
OD161,Yadav,1,21,12,2017-11-05,4,713,0.3,192.51,0,5,11,2017
OD162,Vinne,2,10,6,2016-12-28,1,737,0.2,280.06,0,28,12,2016
OD163,Amrish,6,5,20,2017-11-16,4,1004,0.26,341.36,0,16,11,2017
OD164,Hussain,6,6,18,2017-07-11,4,1516,0.32,121.28,0,11,7,2017
OD165,Haseena,3,0,15,2015-08-09,0,1442,0.28,605.64,0,9,8,2015
OD166,Sudha,1,13,9,2015-08-09,0,1690,0.33,422.5,0,9,8,2015
OD167,Adavan,6,5,0,2015-08-09,0,2021,0.13,343.57,0,9,8,2015
OD168,Aditi,2,15,12,2015-08-09,0,2340,0.25,491.4,0,9,8,2015
OD169,Krithika,5,22,22,2015-08-09,0,705,0.15,176.25,0,9,8,2015
OD170,Sharon,2,4,20,2015-08-09,0,1215,0.2,60.75,0,9,8,2015
OD171,Akash,3,7,8,2015-08-09,0,552,0.25,237.36,0,9,8,2015
OD172,Sabeela,1,13,19,2015-05-08,4,1412,0.11,564.8,0,8,5,2015
OD173,Surya,3,7,19,2015-05-08,4,791,0.32,150.29,0,8,5,2015
OD174,Alan,4,19,22,2015-05-08,4,2476,0.33,420.92,0,8,5,2015
OD175,Aditi,4,12,7,2015-09-14,0,1747,0.27,471.69,0,14,9,2015
OD176,Shah,4,17,14,2015-09-14,0,1973,0.15,848.39,0,14,9,2015
OD177,Mathew,5,22,8,2018-04-21,0,2025,0.24,546.75,0,21,4,2018
OD178,Rumaiza,6,16,21,2016-11-21,1,1016,0.29,223.52,0,21,11,2016
OD179,Arvind,4,17,20,2016-11-21,1,689,0.3,55.12,0,21,11,2016
OD180,Krithika,3,0,7,2016-12-15,1,1322,0.16,343.72,0,15,12,2016
OD181,Arvind,6,6,0,2015-05-12,0,1605,0.25,433.35,0,12,5,2015
OD182,Ravi,1,13,11,2015-05-12,0,1718,0.2,171.8,0,12,5,2015
OD183,Jonas,5,8,9,2015-11-19,3,2177,0.35,783.72,0,19,11,2015
OD184,Surya,3,18,3,2015-11-19,3,578,0.19,236.98,0,19,11,2015
OD185,Amrish,3,7,5,2015-11-19,3,782,0.28,195.5,0,19,11,2015
OD186,Shah,6,16,1,2017-11-28,1,1388,0.35,97.16,0,28,11,2017
OD187,Krithika,0,3,3,2015-08-26,4,2264,0.21,792.4,0,26,8,2015
OD188,Anu,1,21,14,2017-07-16,0,813,0.16,138.21,0,16,7,2017
OD189,Yusuf,4,17,9,2017-07-16,0,2015,0.24,564.2,0,16,7,2017
OD190,Rumaiza,1,21,21,2016-12-10,1,1433,0.3,472.89,0,10,12,2016
OD191,Amrish,4,17,1,2016-12-10,1,2093,0.11,334.88,0,10,12,2016
OD192,Muneer,4,12,1,2016-12-10,1,2149,0.17,623.21,0,10,12,2016
OD193,Anu,1,13,4,2016-12-10,1,1972,0.32,414.12,0,10,12,2016
OD194,Suresh,5,14,4,2016-12-10,1,2060,0.25,432.6,0,10,12,2016
OD195,Peer,2,9,19,2016-10-31,4,1175,0.12,340.75,0,31,10,2016
OD196,Sundar,5,8,18,2015-03-21,1,1006,0.25,191.14,0,21,3,2015
OD197,Sudeep,0,2,7,2015-03-21,1,1409,0.16,380.43,0,21,3,2015
OD198,Verma,3,18,14,2018-06-11,1,914,0.34,338.18,0,11,6,2018
OD199,Surya,2,15,19,2018-06-07,1,1352,0.3,527.28,0,7,6,2018
OD200,Sudha,2,9,20,2018-06-07,1,682,0.25,170.5,0,7,6,2018
OD201,James,3,18,19,2018-06-24,1,1738,0.22,243.32,0,24,6,2018
OD202,Vidya,0,3,16,2015-03-08,4,2421,0.25,484.2,0,8,3,2015
OD203,Jackson,3,18,15,2015-03-08,4,2245,0.24,404.1,0,8,3,2015
OD204,Akash,5,14,21,2018-12-17,0,896,0.12,295.68,0,17,12,2018
OD205,Ram,5,22,23,2018-03-06,3,1033,0.3,185.94,0,6,3,2018
OD206,Vinne,2,15,9,2018-09-12,4,1998,0.29,139.86,0,12,9,2018
OD207,Verma,2,4,13,2018-01-12,0,1469,0.15,646.36,0,12,1,2018
OD208,Haseena,2,9,15,2018-01-12,0,1899,0.25,360.81,0,12,1,2018
OD209,Esther,2,15,14,2018-01-12,0,2194,0.2,153.58,0,12,1,2018
OD210,Amrish,1,21,21,2018-01-12,0,1942,0.29,504.92,0,12,1,2018
OD211,Hafiz,4,19,6,2018-01-12,0,609,0.3,207.06,0,12,1,2018
OD212,Verma,2,4,20,2016-09-02,0,2353,0.26,423.54,0,2,9,2016
OD213,Peer,1,21,16,2016-02-01,1,1591,0.15,270.47,0,1,2,2016
OD214,Arutra,3,20,8,2016-02-01,1,1353,0.11,527.67,0,1,2,2016
OD215,Jonas,1,13,11,2016-02-01,1,1020,0.21,81.6,0,1,2,2016
OD216,Harish,6,16,15,2016-02-01,1,1362,0.31,177.06,0,1,2,2016
OD217,Sundar,3,20,8,2016-02-01,1,1733,0.31,433.25,0,1,2,2016
OD218,Suresh,5,14,19,2017-10-28,4,1949,0.17,97.45,0,28,10,2017
OD219,Sabeela,4,17,23,2017-10-28,4,2368,0.34,876.16,0,28,10,2017
OD220,Arvind,4,12,14,2016-12-24,1,2110,0.25,485.3,0,24,12,2016
OD221,Ramesh,3,7,9,2016-12-24,1,1940,0.2,795.4,0,24,12,2016
OD222,Willams,2,10,21,2016-12-24,1,1557,0.2,638.37,0,24,12,2016
OD223,Ramesh,2,10,9,2016-12-24,1,1443,0.19,274.17,0,24,12,2016
OD224,Yadav,1,21,13,2016-12-24,1,2024,0.11,910.8,0,24,12,2016
OD225,Krithika,2,4,22,2016-12-24,1,2168,0.16,563.68,0,24,12,2016
OD226,Verma,2,4,19,2016-09-08,0,621,0.24,173.88,0,8,9,2016
OD227,Komal,3,18,9,2016-09-08,0,1230,0.17,295.2,0,8,9,2016
OD228,Harish,6,6,16,2016-09-08,0,560,0.34,240.8,0,8,9,2016
OD229,Sudha,5,8,17,2016-02-28,3,1286,0.22,282.92,0,28,2,2016
OD230,Ramesh,1,13,17,2016-02-28,3,1242,0.34,149.04,0,28,2,2016
OD231,Arvind,0,2,8,2015-09-13,3,717,0.21,43.02,0,13,9,2015
OD232,Komal,1,21,11,2018-07-04,3,1480,0.22,444.0,0,4,7,2018
OD233,Komal,3,7,16,2018-07-04,3,826,0.18,247.8,0,4,7,2018
OD234,Ramesh,6,6,12,2018-07-04,3,1846,0.22,276.9,0,4,7,2018
OD235,Mathew,1,21,22,2018-07-04,3,2045,0.12,552.15,0,4,7,2018
OD236,Vince,4,17,10,2018-07-04,3,1983,0.17,773.37,0,4,7,2018
OD237,Shah,0,3,0,2018-12-11,4,650,0.16,247.0,0,11,12,2018
OD238,Ravi,0,2,15,2017-04-06,0,2163,0.31,216.3,0,6,4,2017
OD239,Adavan,4,19,0,2017-04-06,0,1481,0.15,518.35,0,6,4,2017
OD240,Arvind,6,6,20,2017-04-06,0,2492,0.14,124.6,0,6,4,2017
OD241,Ramesh,0,3,10,2017-04-06,0,962,0.33,423.28,0,6,4,2017
OD242,Malik,1,13,2,2017-04-06,0,1432,0.3,214.8,0,6,4,2017
OD243,Muneer,5,8,23,2017-04-06,0,523,0.12,78.45,0,6,4,2017
OD244,Amy,5,14,1,2017-04-06,0,1540,0.11,646.8,0,6,4,2017
OD245,Roshan,0,1,2,2015-01-06,0,817,0.15,326.8,0,6,1,2015
OD246,Vinne,2,10,6,2015-01-06,0,2462,0.31,369.3,0,6,1,2015
OD247,Sudeep,4,17,13,2015-01-06,0,962,0.21,288.6,0,6,1,2015
OD248,Ridhesh,1,13,3,2015-01-06,0,538,0.19,59.18,0,6,1,2015
OD249,Ravi,6,6,12,2015-01-06,0,1556,0.17,482.36,0,6,1,2015
OD250,James,1,13,21,2017-10-12,4,2133,0.26,959.85,0,12,10,2017
OD251,Mathew,1,13,19,2017-11-09,4,1474,0.14,235.84,0,9,11,2017
OD252,Amrish,1,13,5,2017-11-09,4,531,0.14,127.44,0,9,11,2017
OD253,Ramesh,3,20,14,2017-10-12,1,1769,0.19,636.84,0,12,10,2017
OD254,Surya,4,19,14,2017-10-12,1,1257,0.34,62.85,0,12,10,2017
OD255,Veronica,3,20,15,2016-11-28,0,1899,0.27,170.91,0,28,11,2016
OD256,Harish,4,11,19,2016-11-28,0,1929,0.3,617.28,0,28,11,2016
OD257,Ravi,1,21,12,2016-11-28,0,2417,0.1,990.97,0,28,11,2016
OD258,Sundar,2,15,1,2016-11-28,0,1443,0.25,476.19,0,28,11,2016
OD259,Esther,1,21,4,2018-01-12,1,660,0.29,290.4,0,12,1,2018
OD260,Shree,0,2,16,2018-01-12,1,2114,0.32,359.38,0,12,1,2018
OD261,Sabeela,5,14,17,2018-01-12,1,1278,0.14,63.9,0,12,1,2018
OD262,Ravi,3,18,8,2018-08-06,0,867,0.18,216.75,0,6,8,2018
OD263,Roshan,3,18,6,2015-09-19,0,943,0.33,150.88,0,19,9,2015
OD264,Vince,1,21,18,2015-09-19,0,1836,0.17,275.4,0,19,9,2015
OD265,Jonas,2,10,3,2017-06-06,0,1200,0.19,420.0,0,6,6,2017
OD266,Harish,4,19,19,2016-10-11,4,1167,0.18,256.74,0,11,10,2016
OD267,Shah,2,4,13,2018-06-16,3,696,0.34,139.2,0,16,6,2018
OD268,Arvind,5,14,23,2017-01-22,1,2500,0.33,425.0,0,22,1,2017
OD269,Adavan,0,3,4,2018-09-12,1,1507,0.16,180.84,0,12,9,2018
OD270,Suresh,1,21,11,2018-09-12,1,1612,0.11,612.56,0,12,9,2018
OD271,Esther,6,16,18,2018-12-28,4,764,0.11,160.44,0,28,12,2018
OD272,Krithika,6,16,17,2016-07-30,4,884,0.31,282.88,0,30,7,2016
OD273,Muneer,4,17,22,2016-07-30,4,2443,0.23,781.76,0,30,7,2016
OD274,Hafiz,0,3,21,2016-07-30,4,1147,0.27,137.64,0,30,7,2016
OD275,Krithika,4,19,2,2018-09-16,4,1899,0.21,493.74,0,16,9,2018
OD276,Amrish,0,3,14,2018-09-16,4,744,0.11,66.96,0,16,9,2018
OD277,Shah,2,10,15,2018-10-13,1,812,0.17,284.2,0,13,10,2018
OD278,Ram,5,14,23,2018-10-13,1,862,0.2,137.92,0,13,10,2018
OD279,Arutra,6,5,23,2018-10-13,1,1061,0.13,286.47,0,13,10,2018
OD280,Sabeela,4,12,14,2018-10-13,1,2365,0.31,520.3,0,13,10,2018
OD281,Vidya,6,5,7,2016-09-26,0,1421,0.14,454.72,0,26,9,2016
OD282,Roshan,4,19,13,2016-09-26,0,1357,0.24,203.55,0,26,9,2016
OD283,Sheeba,1,21,1,2016-02-11,4,1007,0.24,433.01,0,11,2,2016
OD284,Amrish,0,1,6,2016-09-26,4,1544,0.26,138.96,0,26,9,2016
OD285,Kumar,4,19,16,2016-09-26,4,1537,0.18,599.43,0,26,9,2016
OD286,Ridhesh,0,2,12,2016-09-26,4,1530,0.18,168.3,0,26,9,2016
OD287,Hafiz,5,22,19,2017-12-18,3,2460,0.15,738.0,0,18,12,2017
OD288,Sudha,6,16,3,2017-12-18,3,976,0.35,429.44,0,18,12,2017
OD289,Suresh,4,17,2,2017-12-18,3,1106,0.19,298.62,0,18,12,2017
OD290,Jonas,0,1,19,2017-11-20,1,1165,0.17,244.65,0,20,11,2017
OD291,Jonas,3,20,1,2017-11-20,1,1244,0.14,497.6,0,20,11,2017
OD292,Amrish,4,17,9,2017-11-20,1,1992,0.34,418.32,0,20,11,2017
OD293,Sheeba,2,9,12,2017-11-20,1,1396,0.16,237.32,0,20,11,2017
OD294,Ram,6,5,15,2015-12-26,4,849,0.19,263.19,0,26,12,2015
OD295,Sheeba,5,14,4,2015-12-26,4,2488,0.14,547.36,0,26,12,2015
OD296,Muneer,3,20,4,2015-12-26,4,840,0.25,184.8,0,26,12,2015
OD297,Aditi,5,8,8,2015-12-26,4,1820,0.21,527.8,0,26,12,2015
OD298,Roshan,5,14,0,2015-12-26,4,1969,0.15,630.08,0,26,12,2015
OD299,Sundar,3,18,23,2017-10-28,1,2261,0.23,994.84,0,28,10,2017
OD300,Sudha,2,15,11,2017-10-28,1,1793,0.21,304.81,0,28,10,2017
OD301,Haseena,0,2,12,2017-10-28,1,644,0.33,96.6,0,28,10,2017
OD302,Willams,5,8,22,2017-10-28,1,1359,0.17,421.29,0,28,10,2017
OD303,Veronica,0,2,4,2017-10-28,1,1554,0.23,683.76,0,28,10,2017
OD304,Muneer,6,6,17,2018-11-19,0,2090,0.25,292.6,0,19,11,2018
OD305,Anu,5,8,6,2016-04-05,1,931,0.14,297.92,0,5,4,2016
OD306,Veronica,0,2,16,2015-12-30,0,1157,0.2,404.95,0,30,12,2015
OD307,Verma,4,11,12,2015-01-06,1,2396,0.35,383.36,0,6,1,2015
OD308,Sundar,5,22,14,2015-01-06,1,1677,0.18,586.95,0,6,1,2015
OD309,Esther,6,6,17,2018-04-15,3,590,0.27,200.6,0,15,4,2018
OD310,Vinne,6,16,11,2017-12-09,4,1401,0.26,196.14,0,9,12,2017
OD311,Peer,5,8,22,2017-12-09,4,678,0.29,189.84,0,9,12,2017
OD312,Harish,6,5,21,2017-12-09,4,2417,0.28,797.61,0,9,12,2017
OD313,Willams,1,21,18,2017-12-09,4,2211,0.18,641.19,0,9,12,2017
OD314,Vidya,4,11,13,2015-09-27,1,2392,0.15,406.64,0,27,9,2015
OD315,Arutra,2,15,8,2015-09-08,3,1835,0.29,660.6,0,8,9,2015
OD316,Malik,6,16,1,2015-09-08,3,2281,0.22,775.54,0,8,9,2015
OD317,Peer,4,12,3,2015-12-28,1,1583,0.21,174.13,0,28,12,2015
OD318,Arvind,0,3,21,2015-04-11,1,1123,0.23,89.84,0,11,4,2015
